Contract ID,Contractor,Contract Type
22DL0144,MURIELEVEN BUILDERS AND CONSTRUCTION SUPPLY CORP.,solo
22DF0004,HONEYVILLECONST AND DEVELOPMENT CORPORATION,solo
21DH0053,JUSTBILT BUILDERS,solo
22DF0018,FROMARC BUILDERS & GEN. MERCHANDISE,solo
22DD0152,RUSMEN BUILDERS & DEVELOPMENT CORPORATION,solo
22DN0033,1C4M BUILDERS INC.,solo
22DE0072,TCSC CORP.,solo
22DN0078,D.R. ROBLES CONSTRUCTION,solo
21DI0053,NEWBIG FOUR J CONSTRUCTION INC.,solo
22DO0046,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,solo
22DO0047,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,solo
22DO0051,ST. TIMOTHY CONSTRUCTION CORPORATION,solo
22DO0014,"PERSAN CONSTRUCTION, INC.",solo
21DN0097,G. ANORE CONSTRUCTION,solo
21DN0111,J.H.R. ENTERPRISES,solo
22DN0020,1C4M BUILDERS INC.,solo
22DI0011,ST. TIMOTHY CONSTRUCTION CORPORATION,solo
21DO0067,ST. TIMOTHY CONSTRUCTION CORPORATION,solo
22DJ0016,WAYCON BUILDERS AND CONSTRUCTION SUPPLY CORP.,solo
22DI0043,MAR-VEL CONSTRUCTION & SUPPLY,solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
22DQ0024,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC.",solo
21DF0189,FE S. REYES GENERAL CONTRACTOR CORP.,solo
22DN0023,QUATRIX CONSTRUCTION AND SUPPLY INC.,solo
22DO0028,KING EIGHT BUILDERS AND SUPPLY,solo
21DI0066,ST. GERRARD CONSTRUCTION GEN. CONTRACTOR & DEVELOPMENT CORP.,solo
22DQ0020,KLDS TRADING & CONSTRUCTION,multiple
22DQ0020,OMNICON BUILDERS,multiple
22DD0294,LUCKY EIGHTY-THREE CONSTRUCTION AND SUPPLY,solo
22DF0145,R.V. RIETA TRADING & GENERAL CONSTRUCTION,solo
22DD0254,KENSAL RISE CONSTRUCTION,solo
22DD0255,ALBANO CONSTRUCTION AND TRADING,solo
22DD0100,KENSAL RISE CONSTRUCTION,solo
21DD0263,IKM BUILDERS AND CONSTRUCTION SUPPLY CORPORATION,multiple
21DD0263,T. SOLOMON CONSTRUCTION AND DEVELOPMENT CORPORATIO,multiple
22DL0148,R.T.Y. CONSTRUCTION,solo
22DB0050,JOMZKI CONSTRUCTION AND SUPPLY,solo
22DC0042,KEASCIA CONSTRUCTION & SUPPLY,solo
22DI0072,AYANA CONSTRUCTION AND TRADING,solo
22DG0032,HAUSLAND CONSTRUCTION,solo
22DE0060,GREENFIELD CONSTRUCTION,solo
22DN0083,L.L. MARRON CONSTRUCTION & TRADING,solo
21DN0067,LTDL BUILDERS,solo
22DM0071,MRRM TRADING & CONSTRUCTION,solo
22DM0006,RAPID FOREMOST CONST. CO.,multiple
22DM0006,WYDERWAYS BUILDERS AND SUPPLIES,multiple
21DO0038,JCML BUILDERS,solo
21DQ0065,GRAIA CONSTRUCTION CORPORATION,solo
22DQ0008,KLDS TRADING & CONSTRUCTION,multiple
22DQ0008,OMNICON BUILDERS,multiple
22DQ0010,KLDS TRADING & CONSTRUCTION,multiple
22DQ0010,OMNICON BUILDERS,multiple
22DL0023,TG SURCON BUILDERS INC.,solo
21DI0072,M.T. MALIUANAG CONSTRUCTION SERVICES,solo
21DE0084,GREENFIELD CONSTRUCTION,solo
22DD0258,KEASCIA CONSTRUCTION & SUPPLY,solo
22DI0040,FOURTH GENERATION T CONSTRUCTION,solo
22DF0017,KLDS TRADING & CONSTRUCTION,solo
22DE0006,EFREN RAMIREZ CONSTRUCTION AND GENERAL SERVICES CORPORATION,multiple
22DE0006,M.J. APIN BUILDERS,multiple
22DO0011,DOUBLE 12 CONSTRUCTION & SUPPLY,solo
22DJ0110,JAICA CONST. CORP,solo
22DL0022,TG SURCON BUILDERS INC.,solo
22DL0037,JEMAK CONSTRUCTION & SUPPLY,solo
22DF0148,FE S. REYES GENERAL CONTRACTOR CORP.,solo
22DF0150,R.C. SIMON CONSTRUCTION,solo
22DF0151,FE S. REYES GENERAL CONTRACTOR CORP.,solo
22DF0152,R.C. SIMON CONSTRUCTION,solo
22DE0019,TCSC CORP.,multiple
22DE0019,EFREN RAMIREZ CONSTRUCTION AND GENERAL SERVICES CORPORATION,multiple
21DI0029,ST. TIMOTHY CONSTRUCTION CORPORATION,solo
22DF0026,R2A CONSTRUCTION & TRADING CORPORATION,solo
22DL0070,ADAD ENGINEERING SERVICES & SUPPLY,solo
22DI0030,R.D. SADSAD CONSTRUCTION & TRADING,solo
22DD0278,830 BUILDERS & DEVELOPERS CORP.,solo
22DD0157,ABLB CONSTRUCTION SERVICES,solo
22DI0063,A.I.A. CONSTRUCTION,solo
21DM0051,R.T.Y. CONSTRUCTION,solo
22DL0149,RAM BUILDERS,solo
22DD0121,DARCY & ANNA BUILDERS & TRADING,solo
22DD0263,830 BUILDERS & DEVELOPERS CORP.,solo
22DC0077,P-SQUARE CONTRACTING & SERVICES,solo
21DO0047,S.B. SORIANO CONSTRUCTION,solo
21DD0315,JASMIG CONSTRUCTION CORPORATION,solo
25ED0055,CEFF TRADING & ENGINEERING SERVICES,solo
25ED0075,CEFF TRADING & ENGINEERING SERVICES,multiple
25ED0075,JUWAWI CORPORATION,multiple
25EG0013,KRATOS STRUCPRIME CONSTRUCTION AND SUPPLY CORP,solo
24EA0032,"SUNWEST, INC.",solo
24EA0035,"SUNWEST, INC.",solo
25ED0020,MINDALIFI CONSTRUCTION AND SUPPLY,solo
24ED0036,L.N. SALVADOR CONSTRUCTION CORP.,solo
24EA0036,"SUNWEST, INC.",solo
24ED0080,ARCONIC INC.,solo
24EH0112,SCATR CONSTRUCTION,solo
24EI0073,CAMBERWELL CONSTRUCTION AND SUPPLIES,solo
22EF0047,R NARRAZID TRADING AND CONSTRUCTION,solo
24EI0021,LUMEL GLENN CONSTRUCTION,solo
24ED0041,ARCONIC INC.,solo
24EI0075,ANORE CONSTRUCTION,solo
24EI0019,ALBERTO UY CONSTRUCTION & DEVELOPMENT,solo
24EI0074,LUMEL GLENN CONSTRUCTION,solo
24EE0113,M.G.M. CONSTRUCTION,solo
24EI0076,CAMBERWELL CONSTRUCTION AND SUPPLIES,solo
24ED0071,MARCING CONSTRUCTION SERVICES,solo
24EH0074,"SUNWEST, INC.",solo
24EH0063,"SUNWEST, INC.",solo
24EE0036,YURICH BUILDERS AND CONSTRUCTION SUPPLY INC.,multiple
24EE0036,F.F. GALANG CONSTRUCTION,multiple
24E00035,AMETHYST HORIZON BUILDERS AND GEN. CONTRACTOR AND DEVELOPMENT CORP.,solo
24E00054,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,solo
24E00180,YURICH BUILDERS AND CONSTRUCTION SUPPLY INC.,solo
24E00133,YURICH BUILDERS AND CONSTRUCTION SUPPLY INC.,solo
24EI0072,LUMEL GLENN CONSTRUCTION,solo
24EH0107,"SUNWEST, INC.",solo
24EH0104,SCATR CONSTRUCTION,solo
24E00015,GOLDEN J'S CONSTRUCTION SERVICES,solo
24E00117,D.T. RECIO INCORPORATED,solo
24E00032,D.T. RECIO INCORPORATED,solo
24EA0034,DQT BUILDERS CORPORATION,multiple
24EA0034,G.T.J. CONSTRUCTION,multiple
24EH0069,R.G. FLORENTINO CONST. & TRADING INC.,solo
24EE0074,AR LUSTRE CONSTRUCTION CORPORATION,multiple
24EE0074,A.R.L. CONSTRUCTION,multiple
24EF0012,SYNDTITE CONSTRUCTION CORPORATION,solo
24EH0088,"SUNWEST, INC.",solo
24EH0087,"SUNWEST, INC.",solo
24EH0071,"SUNWEST, INC.",solo
24EH0084,"SUNWEST, INC.",solo
24EF0002,C.T. LEONCIO CONSTRUCTION & TRADING,solo
24E00017,GOLDEN J'S CONSTRUCTION SERVICES,solo
24EB0063,F.A. TORRES CONSTRUCTION,solo
24E00187,STX ENTERPRISES,solo
24E00181,YURICH BUILDERS AND CONSTRUCTION SUPPLY INC.,solo
24EE0101,REINASTAR TRADING AND CONSTRUCTION SUPPLY,solo
24EA0031,DQT BUILDERS CORPORATION,solo
24ED0064,TWENTY SIXTEEN CONSTRUCTION AND GENERAL MERCHANDISE,solo
24EA0033,G.T.J. CONSTRUCTION,multiple
24EA0033,R.R. ENCABO CONSTRUCTORS INCORPORATED,multiple
24EI0020,LUMEL GLENN CONSTRUCTION,solo
24EF0003,SYNDTITE CONSTRUCTION CORPORATION,solo
24EE0017,YURICH BUILDERS AND CONSTRUCTION SUPPLY INC.,multiple
24EE0017,SEVEN DIGIT CONSTRUCTION AND TRUCKING SERVICES CORP.,multiple
24EE0020,YURICH BUILDERS AND CONSTRUCTION SUPPLY INC.,multiple
24EE0020,SEVEN DIGIT CONSTRUCTION AND TRUCKING SERVICES CORP.,multiple
24EH0102,ATHENA CONSTRUCTION AND DEVELOPMENT,solo
24EF0047,ST. TIMOTHY CONSTRUCTION CORPORATION,solo
23EF0024,RDF TRADING AND CONSTRUCTION,solo
24EF0059,L&M RODRIGUEZ CONSTRUCTION AND TRADING INC.,solo
23EE0031,JRMX CONSTRUCTION & GENERAL MERCHANDISE,solo
24EF0014,ALMRIN BUILDERS CORPORATION,solo
24EH0110,"SUNWEST, INC.",solo
24EH0111,"SUNWEST, INC.",solo
24EH0108,"SUNWEST, INC.",solo
24EH0109,"SUNWEST, INC.",solo
24EH0081,"SUNWEST, INC.",solo
24EH0080,"SUNWEST, INC.",solo
24EH0065,"SUNWEST, INC.",solo
24EH0064,"SUNWEST, INC.",solo
24EB0064,SIXTEEN ENTERPRISES-CALAPAN BRANCH,solo
24EH0103,EMQ DESIGN & CONSTRUCTION,solo
24EE0054,JASMIG CONSTRUCTION CORPORATION,solo
24EI0018,ALBERTO UY CONSTRUCTION & DEVELOPMENT,multiple
24EI0018,BANAYAD CONSTRUCTION SERVICES,multiple
24EI0079,D.M. MALIWANAG BUILDERS AND ENTERPRISES,solo
24EH0099,SCATR CONSTRUCTION,solo
24EH0098,SCATR CONSTRUCTION,solo
24EG0055,MAINTIN CONSTRUCTION & SUPPLY,solo
24EF0001,ORANI CONSTRUCTION AND SUPPLY CORPORATION,solo
24EB0100,JIIK CONSTRUCTION SERVICES,solo
24EB0032,ST. GERRARD CONSTRUCTION GEN. CONTRACTOR & DEVELOPMENT CORP.,solo
24EG0059,TAGUSAO CONSTRUCTION & TRADING INC.,solo
24EI0023,LUMEL GLENN CONSTRUCTION,solo
24EB0035,KEJAMARENIK CONSTRUCTION & CONSTRUCTION SUPPLIES,solo
24EB0075,J.H.R. ENTERPRISES,solo
24E00127,OCTAGON CONCRETE SOLUTIONS INC.,multiple
24E00127,MAC BUILDERS CORP.,multiple
24E00010,GOLDEN J'S CONSTRUCTION SERVICES,solo
24EB0071,"NEW MINDORENOS LUMBER, HARDWARE AND GEN MERCHANDISE",solo
23EF0048,C.T. LEONCIO CONSTRUCTION & TRADING,solo
24EE0055,JASMIG CONSTRUCTION CORPORATION,solo
24EB0099,SIXTEEN ENTERPRISES-CALAPAN BRANCH,solo
24EH0105,ROLCO CONSTRUCTION & DEVELOPMENT CORPORATION,solo
24EE0053,ALPHA VECTOR CONSTRUCTION AND SUPPLY,multiple
24EE0053,JASMIG CONSTRUCTION CORPORATION,multiple
24EB0062,F.A. TORRES CONSTRUCTION,solo
24EG0060,RITCHE-NATHALIE DEVELOPMENT CORPORATION,solo
23E00081,ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.,multiple
23E00081,RDF TRADING AND CONSTRUCTION,multiple
24EA0073,SQUARE CUBE CONSTRUCTION,solo
24EA0074,SQUARE CUBE CONSTRUCTION,solo
24EH0114,ROLCO CONSTRUCTION & DEVELOPMENT CORPORATION,multiple
24EH0114,"SIM CONSTRUCTION, TRADING AND SERVICES",multiple
24E00051,RAYMAN BUILDERS INC.,solo
24E00038,ST. TIMOTHY CONSTRUCTION CORPORATION,solo
24E00050,RAYMAN BUILDERS INC.,solo
24EB0098,F.A. TORRES CONSTRUCTION,solo
24E00014,"MARCBILT CONSTRUCTION, INC.",solo
24EB0069,F.A. TORRES CONSTRUCTION,multiple
24EB0069,BLACER CONSTRUCTION CORP.,multiple
24EF0026,DIANE CONSTRUCTION & ENTERPRISES,solo
24E00118,YPR GEN. CONTRACTOR AND CONSTRUCTION SUPPLY INC.,solo
24EA0075,MRRM TRADING & CONSTRUCTION,solo
24EI0022,MADSAM ENTERPRISES,solo
24EF0060,RDF TRADING AND CONSTRUCTION,solo
24EE0019,L. B. LEONCIO TRADING AND CONSTRUCTION CORPORATION,multiple
24EE0019,ONE HUNDRED PERCENT CONSTRUCTION AND DEVELOPMENT CORPORATION,multiple
24EG0061,RITCHE-NATHALIE DEVELOPMENT CORPORATION,solo
24EG0017,F.F. GALANG CONSTRUCTION,solo
24EB0038,AMETHYST HORIZON BUILDERS AND GEN. CONTRACTOR AND DEVELOPMENT CORP.,solo
24EG0054,MACASAET BUILDERS AND TRADING,solo
24E00147,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,solo
24EG0057,AZARRAGA CONSTRUCTION,solo
24EB0036,KEJAMARENIK CONSTRUCTION & CONSTRUCTION SUPPLIES,solo
24EG0063,PANAAD CONSTRUCTION,solo
24EG0029,PANAAD CONSTRUCTION,solo
24EF0013,SYNDTITE CONSTRUCTION CORPORATION,solo
24E00036,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,solo
24EG0047,HARDROCKPLATINUM DEVELOPMENT CORPORATION,solo
24EG0053,MGB CONSTRUCTION & TRADING,solo
24EB0072,KEJAMARENIK CONSTRUCTION & CONSTRUCTION SUPPLIES,solo
24EA0037,T.N.G. CONSTRUCTION CORPORATION,solo
24EA0028,SAMARAH CONSTRUCTION AND SUPPLY,solo
24E00052,ST. TIMOTHY CONSTRUCTION CORPORATION,solo
24E00053,ELITE GENERAL CONTRACTOR AND DEVELOPMENT CORP.,solo
24E00163,MLR SOLID CONSTRUCTION AND DEVELOPMENT CORPORATION,solo
24E00162,MLR SOLID CONSTRUCTION AND DEVELOPMENT CORPORATION,solo
24EG0056,LOUIESE TRADING AND CONSTRUCTION,solo
24ED0022,MAMA'S BOY CONSTRUCTION,solo
24EB0073,D. DOLOR CONSTRUCTION,solo
24EG0062,G. BANZ BUILDERS CORP.,solo
24EG0036,G. BANZ BUILDERS CORP.,solo
24ED0056,E E CONSTRUCTION,solo
24EB0070,KGB ENGINEERING AND CONSTRUCTION,solo
24ED0016,SIXTEEN ENTERPRISES-CALAPAN BRANCH,multiple
24ED0016,E.S.L. BUILDERS & PARTS SUPPLY,multiple
24EF0024,"CUTTING EDGE BUILDERS AND TRADING, INC.",solo
24EB0101,ST. GERRARD CONSTRUCTION GEN. CONTRACTOR & DEVELOPMENT CORP.,solo
24ED0047,KINGSROAD CONSTRUCTION,solo
24ED0017,CEFF TRADING & ENGINEERING SERVICES,solo
24EG0058,AZARRAGA CONSTRUCTION,solo
24ED0020,ETVR TRADING & CONSTRUCTION,solo
24ED0125,SILVERWOLVES CONSTRUCTION CORPORATION,solo
24EB0076,KGB ENGINEERING AND CONSTRUCTION,solo
23E00185,ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.,multiple
23E00185,RDF TRADING AND CONSTRUCTION,multiple
24ED0018,MARTINEZ ENTERPRISES,multiple
24ED0018,FRAMECON BUILDERS,multiple
24EI0046,SOSEP BUILDERS,solo
24EB0074,KEJAMARENIK CONSTRUCTION & CONSTRUCTION SUPPLIES,solo
24EB0037,F.A. TORRES CONSTRUCTION,multiple
24EB0037,MIGHTY DRAGON BUILDERS INC.,multiple
24ED0093,RICH ADS CONSTRUCTION CORP.,multiple
24ED0093,REVERE CONSTRUCTION & SUPPLY CORPORATION,multiple
23E00132,HGG BUILDERS & SUPPLY,solo
23EB0025,FAAA CONSTRUCTION AND TRADING,multiple
23EB0025,D.K. JOCSON CONSTRUCTION,multiple
24ED0068,SILVERWOLVES CONSTRUCTION CORPORATION,solo
24ED0019,MINDALIFI CONSTRUCTION AND SUPPLY,solo
23E00131,HGG BUILDERS & SUPPLY,solo
23EB0087,JELSIE CONSTRUCTION & SUPPLY,solo
23E00006,MAG KONSTRUCTION & SUPPLY INC.,multiple
23E00006,"MONOLITHIC CONSTRUCTION & CONCRETE PRODUCTS, INC.",multiple
24EA0027,JEDIDIAH CONSTRUCTION,solo
23EB0020,F.A. TORRES CONSTRUCTION,multiple
23EB0020,C.T. LEONCIO CONSTRUCTION & TRADING,multiple
24ED0066,SILVERWOLVES CONSTRUCTION CORPORATION,solo
24ED0058,JARO BUILDERS & CONSTRUCTION SUPPLY,solo
24EB0045,STX ENTERPRISES,solo
24ED0069,SILVERWOLVES CONSTRUCTION CORPORATION,solo
24ED0026,E.S.L. BUILDERS & PARTS SUPPLY,solo
24EB0046,STX ENTERPRISES,solo
24EA0052,JEDIDIAH CONSTRUCTION,solo
24EA0053,JEDIDIAH CONSTRUCTION,solo
23E00149,ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.,solo
24ED0067,SILVERWOLVES CONSTRUCTION CORPORATION,solo
23E00032,"SUNWEST, INC.",solo
23EA0051,R.S. TAGALA CONSTRUCTION AND EQUIPMENT RENTALS,multiple
23EA0051,SIXTEEN ENTERPRISES-CALAPAN BRANCH,multiple
23E00187,YURICH BUILDERS AND CONSTRUCTION SUPPLY INC.,solo
23E00188,YURICH BUILDERS AND CONSTRUCTION SUPPLY INC.,solo
23E00079,"MARCBILT CONSTRUCTION, INC.",solo
23EH0100,"SUNWEST, INC.",solo
23EF0060,SAMURAI CONSTRUCTION,solo
23E00150,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,solo
23E00151,YPR GEN. CONTRACTOR AND CONSTRUCTION SUPPLY INC.,solo
23EI0018,ROAD EDGE TRADING & DEVELOPMENT SERVICES,solo
23E00031,ANORE CONSTRUCTION,solo
23EA0030,J.D. LEGASPI CONSTRUCTION,multiple
23EA0030,ZUIDEN BUILDERS INC.,multiple
23E00072,HARDROCKPLATINUM DEVELOPMENT CORPORATION,multiple
23E00072,C.T. LEONCIO CONSTRUCTION & TRADING,multiple
23EB0036,JELSIE CONSTRUCTION & SUPPLY,solo
23EI0033,LUMEL GLENN CONSTRUCTION,solo
23E00071,HARDROCKPLATINUM DEVELOPMENT CORPORATION,multiple
23E00071,C.T. LEONCIO CONSTRUCTION & TRADING,multiple
23EB0037,EIGHT J'S CONSTRUCTION SERVICES,solo
22EF0024,R NARRAZID TRADING AND CONSTRUCTION,solo
23EF0005,ORANI CONSTRUCTION AND SUPPLY CORPORATION,solo
22E00132,HARDROCKPLATINUM DEVELOPMENT CORPORATION,multiple
22E00132,C.T. LEONCIO CONSTRUCTION & TRADING,multiple
23E00027,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,solo
23E00008,HGG BUILDERS & SUPPLY,solo
23EI0023,LUMEL GLENN CONSTRUCTION,solo
23EF0061,SAMURAI CONSTRUCTION,solo
23EF0059,RDF TRADING AND CONSTRUCTION,solo
23EI0008,ALBERTO UY CONSTRUCTION & DEVELOPMENT,solo
23EI0022,LUMEL GLENN CONSTRUCTION,solo
23EI0009,L.N. SALVADOR CONSTRUCTION CORP.,solo
23E00126,G.C.I. CONSTRUCTION AND DEV'T. CORP.,multiple
23E00126,ACIER & BETON CONSTRUCTION,multiple
23E00124,"SUNWEST, INC.",solo
23E00047,"SUNWEST, INC.",solo
23E00048,"SUNWEST, INC.",multiple
23E00048,PROTOSTAR CONSTRUCTION,multiple
23E00156,"SUNWEST, INC.",multiple
23E00156,MACROPRIME BUILDERS CORPORATION,multiple
23E00157,"SUNWEST, INC.",multiple
23E00157,FGO CONSTRUCTION,multiple
23E00043,"SUNWEST, INC.",multiple
23E00043,FGO CONSTRUCTION,multiple
23E00044,MACROPRIME BUILDERS CORPORATION,multiple
23E00044,"SUNWEST, INC.",multiple
23E00045,"SUNWEST, INC.",solo
23E00046,"SUNWEST, INC.",solo
23EB0079,WAY MAKER GENERAL CONTRACTOR OPC,solo
23E00028,"SUNWEST, INC.",solo
23E00029,"SUNWEST, INC.",solo
23E00030,"SUNWEST, INC.",solo
23E00025,"SUNWEST, INC.",solo
23E00026,"SUNWEST, INC.",solo
23E00009,HGG BUILDERS & SUPPLY,solo
23E00010,HGG BUILDERS & SUPPLY,solo
23E00128,HGG BUILDERS & SUPPLY,solo
23E00129,HGG BUILDERS & SUPPLY,solo
23E00130,HGG BUILDERS & SUPPLY,solo
23EB0023,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,solo
23E00197,LEGACY CONSTRUCTION CORPORATION,solo
23E00198,LEGACY CONSTRUCTION CORPORATION,solo
23E00091,HARDROCKPLATINUM DEVELOPMENT CORPORATION,multiple
23E00091,C.T. LEONCIO CONSTRUCTION & TRADING,multiple
23E00204,AMETHYST HORIZON BUILDERS AND GEN. CONTRACTOR AND DEVELOPMENT CORP.,solo
23E00041,NEWBIG FOUR J CONSTRUCTION INC.,solo
23E00152,"MARCBILT CONSTRUCTION, INC.",multiple
23E00152,"SAN MARCELINO BUILDERS, INC.",multiple
23E00017,ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.,solo
23E00018,ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.,multiple
23E00018,D.T. RECIO INCORPORATED,multiple
23EE0044,12-30 CONSTRUCTION AND SUPPLY,solo
23EH0085,LEGACY CONSTRUCTION CORPORATION,solo
23EF0013,L&M RODRIGUEZ CONSTRUCTION AND TRADING INC.,solo
23EH0062,"SUNWEST, INC.",solo
23EH0119,ROLCO CONSTRUCTION & DEVELOPMENT CORPORATION,multiple
23EH0119,TABLAS MEGA CONSTRUCTION,multiple
23EH0020,ROLCO CONSTRUCTION & DEVELOPMENT CORPORATION,solo
23EA0031,DQT BUILDERS CORPORATION,solo
23EA0061,G.T.J. CONSTRUCTION,solo
23EA0026,J.D. LEGASPI CONSTRUCTION,multiple
23EA0026,ZUIDEN BUILDERS INC.,multiple
23EB0032,F.A. TORRES CONSTRUCTION,solo
23EI0028,LUMEL GLENN CONSTRUCTION,solo
23EB0034,SIXTEEN ENTERPRISES-CALAPAN BRANCH,solo
23E00016,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,solo
22EF0038,M.C. ESCALA CONSTRUCTION AND SUPPLY,solo
23EH0018,ROLCO CONSTRUCTION & DEVELOPMENT CORPORATION,solo
23EI0047,LUMEL GLENN CONSTRUCTION,solo
23EE0027,MAC BUILDERS CIVIL ENGINEERING CONSTRUCTION,solo
23ED0033,SIXTEEN ENTERPRISES-CALAPAN BRANCH,solo
23EB0039,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,multiple
23EB0039,MICKU ROBIN CONSTRUCTION,multiple
22EB0052,SIXTEEN ENTERPRISES-CALAPAN BRANCH,solo
23EF0017,PTK GROUP INC.,solo
23E00163,"PHESCO, INCORPORATED",solo
23E00164,"MONOLITHIC CONSTRUCTION & CONCRETE PRODUCTS, INC.",solo
23E00165,SILVERWOLVES CONSTRUCTION CORPORATION,solo
23E00166,SILVERWOLVES CONSTRUCTION CORPORATION,solo
23E00033,JELSIE CONSTRUCTION & SUPPLY,solo
23E00034,JELSIE CONSTRUCTION & SUPPLY,solo
23EA0053,ELITE GENERAL CONTRACTOR AND DEVELOPMENT CORP.,solo
23EB0033,STX ENTERPRISES,solo
23ED0032,LUMEL GLENN CONSTRUCTION,solo
23E00073,"MARCBILT CONSTRUCTION, INC.",solo
23EG0014,SMMILEY BUILDERS AND TRADING,solo
23ED0034,E E CONSTRUCTION,solo
23EB0029,KEJAMARENIK CONSTRUCTION & CONSTRUCTION SUPPLIES,multiple
23EB0029,R.M.A.J. CONSTRUCTION,multiple
23EA0063,JEDIDIAH CONSTRUCTION,solo
23EH0081,EMQ DESIGN & CONSTRUCTION,solo
23ED0030,E.S.L. BUILDERS & PARTS SUPPLY,solo
23EB0024,KEJAMARENIK CONSTRUCTION & CONSTRUCTION SUPPLIES,solo
23EH0078,MRRM TRADING & CONSTRUCTION,multiple
23EH0078,KPSL GENERAL CONTRACTOR INC.,multiple
23EH0083,R N V CONSTRUCTION,solo
23EE0029,PANAAD CONSTRUCTION,solo
23EB0022,F.A. TORRES CONSTRUCTION,solo
23ED0093,SANLAHI GROUP OF BUILDERS INC.,solo
23ED0027,MARTINEZ ENTERPRISES,multiple
23ED0027,FRAMECON BUILDERS,multiple
22EA0242,K CONSTRUCTION & DEVELOPERS CORPORATION,solo
23EH0019,R N V CONSTRUCTION,solo
23ED0067,MADSAM ENTERPRISES,solo
23EB0035,STX ENTERPRISES,solo
22E00151,LEGACY CONSTRUCTION CORPORATION,solo
23EF0075,MEGA TAM SUMMIT INCORPORATED,solo
22EF0036,C.T. LEONCIO CONSTRUCTION & TRADING,solo
